통계표코드,통계명,통계항목코드1,통계항목명1,통계항목코드2,통계항목명2,통계항목코드3,통계항목명3,통계항목코드4,통계항목명4,단위,WGT,시점,값
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080101,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080102,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080103,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080104,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080105,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080106,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080107,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080108,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080109,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080110,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080111,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080112,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080113,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080114,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080115,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080116,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080117,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080118,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080119,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080120,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080121,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080122,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080123,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080124,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080125,5.3
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,0102000,정부대출금금리,,,,,,,연%,,20080126,5.3
